Date,Time,id,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,a_total_act_energy,a_total_act_ret_energy,b_total_act_energy,b_total_act_ret_energy,c_total_act_energy,c_total_act_ret_energy,total_act,total_act_ret,user_calibrated_phase,Date_Time
2025-05-14,03:57:45,0.0,0.028,0.0,0.0,0.0,1.0,106.9,0.026,0.0,0.0,0.0,1.0,43.9,0.03,235.3,-1.4,7.0,0.55,50.0,,0.084,-1.447,7.032,11.02,0.0,11.5,0.0,12.1,484.73,34.61,484.73,,2025-05-14 03:57:45
2025-05-14,04:07:45,0.0,0.028,0.0,0.0,0.0,1.0,68.0,0.027,0.0,0.0,0.0,1.0,51.4,0.029,234.9,-1.3,6.9,0.18,50.0,,0.084,-1.312,6.864,11.02,0.0,11.5,0.0,12.1,484.95,34.61,484.95,,2025-05-14 04:07:45
2025-05-14,04:17:45,0.0,0.028,0.0,0.0,0.0,1.0,63.0,0.027,0.0,0.0,0.0,1.0,95.3,0.03,234.9,-1.7,7.0,0.18,50.0,,0.084,-1.682,6.981,11.02,0.0,11.5,0.0,12.1,485.17,34.61,485.17,,2025-05-14 04:17:45
2025-05-14,04:27:45,0.0,0.027,0.0,0.0,0.0,1.0,92.7,0.026,0.0,0.0,0.0,1.0,51.6,0.03,235.0,-1.2,7.1,0.18,50.0,,0.083,-1.178,7.116,11.02,0.0,11.5,0.0,12.1,485.39,34.61,485.39,,2025-05-14 04:27:45
2025-05-14,04:37:45,0.0,0.028,0.0,0.0,0.0,1.0,69.7,0.026,0.0,0.0,0.0,1.0,57.6,0.03,234.8,-1.3,7.0,0.18,50.0,,0.084,-1.329,7.015,11.02,0.0,11.5,0.0,12.1,485.62,34.61,485.62,,2025-05-14 04:37:45
2025-05-14,04:47:45,0.0,0.028,0.0,0.0,0.0,1.0,45.6,0.026,0.0,0.0,0.0,1.0,50.5,0.03,234.3,-1.4,7.0,0.55,50.0,,0.084,-1.447,7.049,11.02,0.0,11.5,0.0,12.1,485.84,34.61,485.84,,2025-05-14 04:47:45
2025-05-14,04:57:45,0.0,0.028,0.0,0.0,0.0,1.0,65.0,0.026,0.0,0.0,0.0,1.0,85.2,0.029,234.2,-1.1,6.8,0.18,50.0,,0.083,-1.093,6.796,11.02,0.0,11.5,0.0,12.1,486.06,34.61,486.06,,2025-05-14 04:57:45
2025-05-14,05:07:45,0.0,0.028,0.0,0.0,0.0,1.0,47.7,0.026,0.0,0.0,0.0,1.0,48.2,0.029,234.6,-1.2,6.8,0.18,50.0,,0.084,-1.178,6.813,11.02,0.0,11.5,0.0,12.1,486.28,34.61,486.28,,2025-05-14 05:07:45
2025-05-14,05:17:45,0.0,0.028,0.0,0.0,0.0,1.0,44.1,0.026,0.0,0.0,0.0,1.0,46.7,0.03,234.6,-1.5,7.0,0.17,50.0,,0.084,-1.497,7.015,11.02,0.0,11.5,0.0,12.1,486.51,34.61,486.51,,2025-05-14 05:17:45
2025-05-14,05:27:45,0.0,0.029,0.0,0.0,0.0,1.0,85.0,0.027,0.0,0.0,0.0,1.0,52.5,0.03,234.1,-1.5,7.1,0.24,50.0,,0.086,-1.464,7.116,11.02,0.0,11.5,0.0,12.1,486.73,34.61,486.73,,2025-05-14 05:27:45
2025-05-14,05:37:45,0.0,0.027,0.0,0.0,0.0,1.0,34.7,0.027,0.0,0.0,0.0,1.0,54.8,0.03,233.4,-1.4,6.9,0.19,50.0,,0.084,-1.413,6.897,11.02,0.0,11.5,0.0,12.1,486.95,34.61,486.95,,2025-05-14 05:37:45
2025-05-14,05:47:45,0.0,0.028,0.0,0.0,0.0,1.0,83.6,0.026,0.0,0.0,0.0,1.0,54.8,0.031,233.6,-1.5,7.1,0.18,50.0,,0.085,-1.531,7.15,11.02,0.0,11.5,0.0,12.1,487.17,34.61,487.17,,2025-05-14 05:47:45
2025-05-14,05:57:45,0.0,0.028,0.0,0.0,0.0,1.0,76.1,0.027,0.0,0.0,0.0,1.0,46.6,0.03,233.1,-1.5,7.0,0.55,50.0,,0.084,-1.531,6.965,11.02,0.0,11.5,0.0,12.1,487.39,34.61,487.39,,2025-05-14 05:57:45
2025-05-14,06:07:45,0.0,0.028,0.0,0.0,0.0,1.0,65.6,0.027,0.0,0.0,0.0,1.0,45.0,0.03,232.3,-1.2,6.9,0.24,50.0,,0.085,-1.245,6.931,11.02,0.0,11.5,0.0,12.1,487.62,34.61,487.62,,2025-05-14 06:07:45
2025-05-14,06:17:45,0.0,0.028,0.0,0.0,0.0,1.0,45.0,0.026,0.0,0.0,0.0,1.0,51.8,0.03,232.3,-1.5,7.0,0.18,50.0,,0.084,-1.464,6.981,11.02,0.0,11.5,0.0,12.1,487.84,34.61,487.84,,2025-05-14 06:17:45
2025-05-14,06:27:45,0.0,0.028,0.0,0.0,0.0,1.0,36.3,0.026,0.0,0.0,0.0,1.0,52.4,0.029,231.4,-1.2,6.7,0.57,50.0,,0.083,-1.161,6.679,11.02,0.0,11.5,0.0,12.1,488.06,34.61,488.06,,2025-05-14 06:27:45
2025-05-14,06:37:45,0.0,0.028,0.0,0.0,0.0,1.0,28.9,0.026,0.0,0.0,0.0,1.0,98.7,0.03,231.0,-1.5,6.8,0.57,50.0,,0.083,-1.497,6.847,11.02,0.0,11.5,0.0,12.1,488.28,34.61,488.28,,2025-05-14 06:37:45
2025-05-14,06:47:45,0.0,0.027,0.0,0.0,0.0,1.0,54.5,0.026,0.0,0.0,0.0,1.0,48.1,0.03,231.7,-1.3,6.9,0.55,50.0,,0.084,-1.262,6.88,11.02,0.0,11.5,0.0,12.1,488.5,34.61,488.5,,2025-05-14 06:47:45
2025-05-14,06:57:45,0.0,0.027,0.0,0.0,0.0,1.0,84.3,0.026,0.0,0.0,0.0,1.0,97.7,0.03,231.4,-1.2,7.0,0.55,50.0,,0.084,-1.211,7.049,11.02,0.0,11.5,0.0,12.1,488.72,34.61,488.72,,2025-05-14 06:57:45
2025-05-14,07:07:45,0.0,0.028,0.0,0.0,0.0,1.0,56.6,0.027,0.0,0.0,0.0,1.0,121.6,0.03,232.7,-1.6,6.9,0.57,50.0,,0.085,-1.565,6.948,11.02,0.0,11.5,0.0,12.1,488.95,34.61,488.95,,2025-05-14 07:07:45
2025-05-14,07:17:45,0.0,0.028,0.0,0.0,0.0,1.0,100.4,0.026,0.0,0.0,0.0,1.0,44.8,0.029,232.6,-1.0,6.7,0.18,50.0,,0.083,-1.043,6.712,11.02,0.0,11.5,0.0,12.1,489.17,34.61,489.17,,2025-05-14 07:17:45
2025-05-14,07:27:45,0.0,0.027,0.0,0.0,0.0,1.0,218.8,0.026,0.0,0.0,0.0,1.0,33.2,0.03,232.7,-1.4,7.0,0.18,50.0,,0.083,-1.363,7.049,11.02,0.0,11.5,0.0,12.1,489.39,34.61,489.39,,2025-05-14 07:27:45
2025-05-14,07:37:45,0.0,0.028,0.0,0.0,0.0,1.0,60.2,0.026,0.0,0.0,0.0,1.0,47.6,0.031,232.9,-1.2,7.1,0.18,50.0,,0.085,-1.194,7.116,11.02,0.0,11.5,0.0,12.1,489.62,34.61,489.62,,2025-05-14 07:37:45
2025-05-14,07:47:45,0.0,0.028,0.0,0.0,0.0,1.0,53.8,0.026,0.0,0.0,0.0,1.0,53.2,0.03,234.1,-1.5,7.1,0.24,50.0,,0.084,-1.514,7.133,11.02,0.0,11.5,0.0,12.1,489.84,34.61,489.84,,2025-05-14 07:47:45
2025-05-14,07:57:45,0.0,0.027,0.0,0.0,0.0,1.0,42.9,0.026,0.0,0.0,0.0,1.0,56.8,0.03,233.8,-1.5,6.9,0.19,50.0,,0.083,-1.464,6.914,11.02,0.0,11.5,0.0,12.1,490.06,34.61,490.06,,2025-05-14 07:57:45
2025-05-14,08:07:45,0.0,0.028,0.0,0.0,0.0,1.0,50.3,0.026,0.0,0.0,0.0,1.0,55.0,0.029,234.4,-1.4,6.9,0.57,50.0,,0.083,-1.447,6.914,11.02,0.0,11.5,0.0,12.1,490.28,34.61,490.28,,2025-05-14 08:07:45
2025-05-14,08:17:45,0.0,0.028,0.0,0.0,0.0,1.0,39.9,0.027,0.0,0.0,0.0,1.0,77.6,0.03,233.8,-1.1,7.0,0.55,50.0,,0.084,-1.077,6.965,11.02,0.0,11.5,0.0,12.1,490.51,34.61,490.51,,2025-05-14 08:17:45
2025-05-14,08:27:45,0.0,0.028,0.0,0.0,0.0,1.0,338.6,0.027,0.0,0.0,0.0,1.0,47.1,0.03,233.4,-1.3,7.1,0.55,50.0,,0.085,-1.279,7.116,11.02,0.0,11.5,0.0,12.1,490.73,34.61,490.73,,2025-05-14 08:27:45
2025-05-14,08:37:45,0.0,0.028,0.0,0.0,0.0,1.0,75.3,0.026,0.0,0.0,0.0,1.0,55.1,0.03,233.9,-1.4,7.0,0.19,50.0,,0.084,-1.43,6.998,11.02,0.0,11.5,0.0,12.1,490.95,34.61,490.95,,2025-05-14 08:37:45
2025-05-14,08:47:45,0,0.028,0.0,0.0,0.0,1.0,99.4,0.027,0.0,0.0,0.0,1.0,55.6,0.03,233.7,-1.2,7.0,0.18,50.0,,0.085,-1.178,7.015,11.02,0.0,11.5,0.0,12.1,491.18,34.61,491.18,,2025-05-14 08:47:45
2025-05-14,08:57:45,0,0.028,0.0,0.0,0.0,1.0,69.5,0.027,0.0,0.0,0.0,1.0,54.6,0.03,234.8,-1.5,7.0,0.55,50.0,,0.085,-1.548,7.015,11.02,0.0,11.5,0.0,12.1,491.4,34.61,491.4,,2025-05-14 08:57:45
2025-05-14,09:07:45,0,0.028,0.0,0.0,0.0,1.0,37.7,0.027,0.0,0.0,0.0,1.0,32.5,0.03,232.5,-1.5,6.9,0.24,50.0,,0.084,-1.48,6.897,11.02,0.0,11.5,0.0,12.1,491.62,34.61,491.62,,2025-05-14 09:07:45
