Date,Time,Timezone,market_prices[EUR/kWh]
2025-04-30,00:00,+02:00,0.2937
2025-04-30,01:00,+02:00,0.2877
2025-04-30,02:00,+02:00,0.2849
2025-04-30,03:00,+02:00,0.2856
2025-04-30,04:00,+02:00,0.2894
2025-04-30,05:00,+02:00,0.2947
2025-04-30,06:00,+02:00,0.3178
2025-04-30,07:00,+02:00,0.3238
2025-04-30,08:00,+02:00,0.2995
2025-04-30,09:00,+02:00,0.2719
2025-04-30,10:00,+02:00,0.189
2025-04-30,11:00,+02:00,0.1806
2025-04-30,12:00,+02:00,0.1794
2025-04-30,13:00,+02:00,0.1732
2025-04-30,14:00,+02:00,0.177
2025-04-30,15:00,+02:00,0.1806
2025-04-30,16:00,+02:00,0.2043
2025-04-30,17:00,+02:00,0.2739
2025-04-30,18:00,+02:00,0.3018
2025-04-30,19:00,+02:00,0.3358
2025-04-30,20:00,+02:00,0.3906
2025-04-30,21:00,+02:00,0.3329
2025-04-30,22:00,+02:00,0.3095
2025-04-30,23:00,+02:00,0.298
2025-05-01,00:00,+02:00,0.2967
2025-05-01,01:00,+02:00,0.2898
2025-05-01,02:00,+02:00,0.2883
2025-05-01,03:00,+02:00,0.2885
2025-05-01,04:00,+02:00,0.2883
2025-05-01,05:00,+02:00,0.2808
2025-05-01,06:00,+02:00,0.2805
2025-05-01,07:00,+02:00,0.2735
2025-05-01,08:00,+02:00,0.2545
2025-05-01,09:00,+02:00,0.1806
2025-05-01,10:00,+02:00,0.177
2025-05-01,11:00,+02:00,0.1329
2025-05-01,12:00,+02:00,0.0795
2025-05-01,13:00,+02:00,0.0259
2025-05-01,14:00,+02:00,0.0401
2025-05-01,15:00,+02:00,0.1211
2025-05-01,16:00,+02:00,0.1745
2025-05-01,17:00,+02:00,0.2291
2025-05-01,18:00,+02:00,0.295
2025-05-01,19:00,+02:00,0.3352
2025-05-01,20:00,+02:00,0.3762
2025-05-01,21:00,+02:00,0.3263
2025-05-01,22:00,+02:00,0.3005
2025-05-01,23:00,+02:00,0.2843
2025-05-01,23:00,+02:00,0.2843
