Date,Time,Timezone,market_prices[EUR/kWh]
2025-05-11,09:00,+02:00,-0.0001 EUR/kWh
2025-05-11,10:00,+02:00,-0.012 EUR/kWh
2025-05-11,11:00,+02:00,-0.052 EUR/kWh
2025-05-11,12:00,+02:00,-0.2128 EUR/kWh
2025-05-11,13:00,+02:00,-0.2503 EUR/kWh
2025-05-11,14:00,+02:00,-0.231 EUR/kWh
2025-05-11,15:00,+02:00,-0.1101 EUR/kWh
2025-05-11,16:00,+02:00,-0.0185 EUR/kWh
2025-05-11,17:00,+02:00,-0.0001 EUR/kWh
2025-05-12,11:00,+02:00,-0.0039 EUR/kWh
2025-05-12,12:00,+02:00,-0.025 EUR/kWh
2025-05-12,13:00,+02:00,-0.035 EUR/kWh
2025-05-12,14:00,+02:00,-0.0299 EUR/kWh
2025-05-12,15:00,+02:00,-0.0086 EUR/kWh
