Date,Time,Timezone,Solar_Production_Estimate[kW]
2025-05-04,00:00,+02:00,0.00 
2025-05-04,00:00,+02:00,0.00 
2025-05-04,01:00,+02:00,0.00 
2025-05-04,01:00,+02:00,0.00 
2025-05-04,02:00,+02:00,0.00 
2025-05-04,02:00,+02:00,0.00 
2025-05-04,03:00,+02:00,0.00 
2025-05-04,03:00,+02:00,0.00 
2025-05-04,04:00,+02:00,0.00 
2025-05-04,04:00,+02:00,0.00 
2025-05-04,05:00,+02:00,0.00 
2025-05-04,05:00,+02:00,0.00 
2025-05-04,06:00,+02:00,0.00 
2025-05-04,06:00,+02:00,0.00 
2025-05-04,07:00,+02:00,0.39 
2025-05-04,07:00,+02:00,0.39 
2025-05-04,08:00,+02:00,1.58 
2025-05-04,08:00,+02:00,1.58 
2025-05-04,09:00,+02:00,2.62 
2025-05-04,09:00,+02:00,2.62 
2025-05-04,10:00,+02:00,3.50 
2025-05-04,10:00,+02:00,3.50 
2025-05-04,11:00,+02:00,3.97 
2025-05-04,11:00,+02:00,3.97 
2025-05-04,12:00,+02:00,4.93 
2025-05-04,12:00,+02:00,4.93 
2025-05-04,13:00,+02:00,5.06 
2025-05-04,13:00,+02:00,5.06 
2025-05-04,14:00,+02:00,5.31 
2025-05-04,14:00,+02:00,5.31 
2025-05-04,15:00,+02:00,4.17 
2025-05-04,15:00,+02:00,4.17 
2025-05-04,16:00,+02:00,3.85 
2025-05-04,16:00,+02:00,3.85 
2025-05-04,17:00,+02:00,2.99 
2025-05-04,17:00,+02:00,2.99 
2025-05-04,18:00,+02:00,2.07 
2025-05-04,18:00,+02:00,2.07 
2025-05-04,19:00,+02:00,1.28 
2025-05-04,19:00,+02:00,1.28 
2025-05-04,20:00,+02:00,0.78 
2025-05-04,20:00,+02:00,0.78 
2025-05-04,21:00,+02:00,0.10 
2025-05-04,21:00,+02:00,0.10 
2025-05-04,22:00,+02:00,0.00 
2025-05-04,22:00,+02:00,0.00 
2025-05-04,23:00,+02:00,0.00 
2025-05-04,23:00,+02:00,0.00 
2025-05-05,00:00,+02:00,0.00 
2025-05-05,00:00,+02:00,0.00 
2025-05-05,01:00,+02:00,0.00 
2025-05-05,01:00,+02:00,0.00 
2025-05-05,02:00,+02:00,0.00 
2025-05-05,02:00,+02:00,0.00 
2025-05-05,03:00,+02:00,0.00 
2025-05-05,03:00,+02:00,0.00 
2025-05-05,04:00,+02:00,0.00 
2025-05-05,04:00,+02:00,0.00 
2025-05-05,05:00,+02:00,0.00 
2025-05-05,05:00,+02:00,0.00 
2025-05-05,06:00,+02:00,0.00 
2025-05-05,06:00,+02:00,0.00 
2025-05-05,07:00,+02:00,0.40 
2025-05-05,07:00,+02:00,0.40 
2025-05-05,08:00,+02:00,1.48 
2025-05-05,08:00,+02:00,1.48 
2025-05-05,09:00,+02:00,2.73 
2025-05-05,09:00,+02:00,2.73 
2025-05-05,10:00,+02:00,3.87 
2025-05-05,10:00,+02:00,3.87 
2025-05-05,11:00,+02:00,3.90 
2025-05-05,11:00,+02:00,3.90 
2025-05-05,12:00,+02:00,4.53 
2025-05-05,12:00,+02:00,4.53 
2025-05-05,13:00,+02:00,4.35 
2025-05-05,13:00,+02:00,4.35 
2025-05-05,14:00,+02:00,4.37 
2025-05-05,14:00,+02:00,4.37 
2025-05-05,15:00,+02:00,3.80 
2025-05-05,15:00,+02:00,3.80 
2025-05-05,16:00,+02:00,4.12 
2025-05-05,16:00,+02:00,4.12 
2025-05-05,17:00,+02:00,2.65 
2025-05-05,17:00,+02:00,2.65 
2025-05-05,18:00,+02:00,1.56 
2025-05-05,18:00,+02:00,1.56 
2025-05-05,19:00,+02:00,1.42 
2025-05-05,19:00,+02:00,1.42 
2025-05-05,20:00,+02:00,0.45 
2025-05-05,20:00,+02:00,0.45 
2025-05-05,21:00,+02:00,0.08 
2025-05-05,21:00,+02:00,0.08 
2025-05-05,22:00,+02:00,0.00 
2025-05-05,22:00,+02:00,0.00 
2025-05-05,23:00,+02:00,0.00 
2025-05-05,23:00,+02:00,0.00
