Date,Time,Timezone,Temperature[deg_cel],Weather_condition
2025-05-01,00:00,+02:00,17.4,Mainly clear
2025-05-01,01:00,+02:00,16.2,Clear sky
2025-05-01,02:00,+02:00,14.3,Clear sky
2025-05-01,03:00,+02:00,13.4,Clear sky
2025-05-01,04:00,+02:00,12.3,Clear sky
2025-05-01,05:00,+02:00,11.0,Clear sky
2025-05-01,06:00,+02:00,10.1,Mainly clear
2025-05-01,07:00,+02:00,10.2,Mainly clear
2025-05-01,08:00,+02:00,12.0,Clear sky
2025-05-01,09:00,+02:00,15.1,Clear sky
2025-05-01,10:00,+02:00,18.3,Clear sky
2025-05-01,11:00,+02:00,20.9,Clear sky
2025-05-01,12:00,+02:00,23.0,Clear sky
2025-05-01,13:00,+02:00,24.8,Clear sky
2025-05-01,14:00,+02:00,26.0,Clear sky
2025-05-01,15:00,+02:00,26.4,Clear sky
2025-05-01,16:00,+02:00,26.7,Clear sky
2025-05-01,17:00,+02:00,26.8,Clear sky
2025-05-01,18:00,+02:00,26.5,Clear sky
2025-05-01,19:00,+02:00,25.8,Clear sky
2025-05-01,20:00,+02:00,25.1,Clear sky
2025-05-01,21:00,+02:00,23.2,Clear sky
2025-05-01,22:00,+02:00,21.4,Mainly clear
2025-05-01,23:00,+02:00,18.8,Mainly clear
2025-05-02,00:00,+02:00,16.5,Clear sky
2025-05-02,01:00,+02:00,15.7,Clear sky
2025-05-02,02:00,+02:00,14.1,Mainly clear
2025-05-02,03:00,+02:00,13.9,Mainly clear
2025-05-02,04:00,+02:00,13.1,Mainly clear
2025-05-02,05:00,+02:00,12.5,Mainly clear
2025-05-02,06:00,+02:00,12.2,Overcast
2025-05-02,07:00,+02:00,12.2,Overcast
2025-05-02,08:00,+02:00,14.3,Partly cloudy
2025-05-02,09:00,+02:00,16.8,Mainly clear
2025-05-02,10:00,+02:00,19.6,Partly cloudy
2025-05-02,11:00,+02:00,22.3,Mainly clear
2025-05-02,12:00,+02:00,24.6,Mainly clear
2025-05-02,13:00,+02:00,27.1,Partly cloudy
2025-05-02,14:00,+02:00,27.3,Overcast
2025-05-02,15:00,+02:00,28.1,Mainly clear
2025-05-02,16:00,+02:00,28.6,Partly cloudy
2025-05-02,17:00,+02:00,28.0,Mainly clear
2025-05-02,18:00,+02:00,27.8,Partly cloudy
2025-05-02,19:00,+02:00,27.2,Clear sky
2025-05-02,20:00,+02:00,25.9,Mainly clear
2025-05-02,21:00,+02:00,23.4,Partly cloudy
2025-05-02,22:00,+02:00,21.2,Mainly clear
2025-05-02,23:00,+02:00,20.1,Overcast
